id,gender,articleType,usage
15970,Men,Shirts,Casual
39386,Men,Jeans,Casual
59263,Women,Watches,Casual
21379,Men,Track Pants,Casual
53759,Men,Tshirts,Casual
1855,Men,Tshirts,Casual
30805,Men,Shirts,Ethnic
26960,Women,Shirts,Casual
29114,Men,Socks,Casual
30039,Men,Watches,Casual
9204,Men,Casual Shoes,Casual
48123,Women,Belts,Casual
18653,Men,Flip Flops,Casual
47957,Women,Handbags,Casual
46885,Boys,Flip Flops,Casual
12369,Men,Shirts,Formal
29928,Men,Watches,Casual
42419,Girls,Tops,Casual
51832,Women,Bra,Casual
47359,Women,Handbags,Casual
17429,Men,Watches,Casual
12967,Men,Sandals,Casual
6842,Unisex,Shoe Accessories,Casual
13089,Men,Sweatshirts,Sports
18461,Men,Deodorant,Casual
9036,Men,Formal Shoes,Formal
48311,Women,Bracelet,Casual
7990,Men,Tshirts,Sports
56019,Women,Lipstick,Casual
21977,Women,Handbags,Casual
37812,Men,Shirts,Formal
4729,Boys,Tshirts,Casual
56825,Men,Shirts,Casual
39988,Men,Casual Shoes,Casual
59051,Women,Flats,Casual
20099,Women,Kurtas,Ethnic
58183,Women,Handbags,Casual
29742,Women,Handbags,Casual
51658,Women,Watches,Casual
3954,Women,Tshirts,Casual
18839,Men,Belts,Formal
2886,Women,Flats,Casual
23278,Men,Watches,Casual
28690,Women,Kurtas,Ethnic
8580,Men,Waistcoat,Casual
3168,Men,Sports Shoes,Sports
18005,Men,Shorts,Sports
17871,Men,Briefs,Casual
9452,Men,Shirts,Formal
38402,Women,Belts,Casual
44984,Women,Watches,Casual
10268,Men,Formal Shoes,Formal
45856,Women,Kurtas,Ethnic
32138,Men,Briefs,Casual
59435,Men,Formal Shoes,Formal
5891,Men,Tshirts,Casual
38630,Women,Tshirts,Casual
4943,Men,Shirts,Casual
11188,Men,Watches,Casual
10866,Men,Tshirts,Casual
59607,Women,Sarees,Ethnic
15528,Men,Tshirts,Casual
45258,Men,Watches,Casual
42841,Women,Handbags,Casual
22198,Men,Casual Shoes,Casual
29570,Men,Casual Shoes,Casual
43993,Women,Perfume and Body Mist,Casual
6628,Men,Sports Shoes,Sports
54924,Men,Shorts,Casual
26538,Men,Casual Shoes,Casual
35913,Women,Handbags,Casual
49495,Men,Casual Shoes,Casual
9660,Men,Shirts,Casual
2288,Women,Tshirts,Sports
23876,Men,Sweatshirts,Casual
18237,Men,Tshirts,Casual
54118,Women,Heels,Casual
2872,Women,Heels,Casual
49653,Women,Tops,Casual
8574,Women,Sandals,Casual
16957,Men,Sunglasses,Casual
19123,Men,Flip Flops,Casual
13419,Men,Tshirts,Casual
17885,Men,Innerwear Vests,Casual
43369,Men,Flip Flops,Casual
48781,Women,Pendant,Casual
44970,Men,Watches,Casual
56489,Women,Nail Polish,
39524,Unisex,Laptop Bag,Casual
33822,Men,Sports Shoes,Sports
58513,Women,Tops,Casual
25947,Women,Scarves,Casual
52029,Unisex,Rain Jacket,
5865,Men,Tshirts,Casual
39716,Women,Dresses,Casual
25349,Men,Briefs,Casual
11940,Men,Sandals,Casual
55802,Women,Night suits,Casual
29584,Men,Tshirts,Casual
43967,Women,Perfume and Body Mist,Casual
28456,Women,Skirts,Sports
34009,Girls,Tops,Casual
19311,Men,Casual Shoes,Casual
42089,Men,Sports Shoes,Sports
22950,Unisex,Watches,Casual
49461,Men,Casual Shoes,Casual
8746,Unisex,Flip Flops,Casual
9694,Men,Tshirts,Casual
23882,Men,Sports Shoes,Sports
34835,Men,Sports Shoes,Sports
15984,Men,Shirts,Casual
41268,Men,Wallets,Casual
11518,Women,Heels,Casual
14856,Women,Wallets,Casual
33648,Men,Sandals,Casual
59297,Men,Shirts,Casual
28032,Men,Briefs,Casual
27846,Women,Blazers,Formal
26994,Women,Jeans,Casual
49839,Women,Flip Flops,Casual
31923,Women,Handbags,Casual
2618,Women,Flats,Casual
54588,Women,Kurtas,Ethnic
49005,Women,Ring,Casual
8322,Boys,Tshirts,Casual
13841,Unisex,Watches,Casual
28200,Men,Sunglasses,Casual
12993,Unisex,Sports Shoes,Sports
7158,Men,Shirts,Casual
18495,Men,Sandals,Casual
8110,Men,Watches,Casual
19547,Men,Sweatshirts,Casual
7964,Men,Tshirts,Sports
36934,Women,Perfume and Body Mist,Casual
39140,Women,Kurta Sets,Ethnic
20851,Women,Clutches,Casual
41866,Men,Sandals,Casual
58177,Women,Handbags,Casual
44528,Men,Sandals,Casual
16392,Men,Shirts,Casual
51455,Women,Shrug,Casual
50587,Men,Briefs,Casual
17240,Men,Tshirts,Casual
47530,Women,Flats,Casual
6617,Men,Shirts,Casual
12732,Unisex,Backpacks,Sports
3365,Men,Tshirts,Casual
42042,Men,Sports Shoes,Sports
23849,Men,Casual Shoes,Casual
43190,Women,Watches,Casual
48578,Men,Bracelet,Casual
30462,Women,Bra,Casual
18208,Men,Caps,Casual
54127,Women,Heels,Casual
10065,Men,Tshirts,Casual
24250,Men,Casual Shoes,Casual
32335,Men,Watches,Casual
25382,Men,Innerwear Vests,Casual
56670,Men,Watches,Casual
5092,Men,Tshirts,Casual
10859,Men,Tshirts,Casual
59638,Women,Sarees,Ethnic
15517,Men,Casual Shoes,Casual
4140,Women,Casual Shoes,Casual
36795,Men,Watches,Casual
40527,Men,Watches,Casual
10257,Men,Trousers,Formal
24062,Men,Tshirts,Casual
45869,Men,Watches,Casual
11385,Women,Sweatshirts,Casual
53130,Women,Flats,Casual
44187,Women,Perfume and Body Mist,Casual
21510,Women,Handbags,Casual
51667,Men,Sunglasses,Casual
22395,Men,Shirts,Casual
35322,Women,Earrings,Ethnic
6425,Unisex,Casual Shoes,Casual
18806,Men,Belts,Casual
23247,Men,Formal Shoes,Formal
17072,Women,Belts,Casual
31782,Women,Tops,Casual
42270,Unisex,Casual Shoes,Casual
12500,Men,Shirts,Casual
26735,Men,Deodorant,Casual
30650,Men,Tshirts,Casual
56026,Women,Lipstick,Casual
21948,Women,Handbags,Casual
32563,Women,Trousers,Casual
58980,Women,Deodorant,Casual
40143,Girls,Tops,Casual
10633,Men,Formal Shoes,Formal
24406,Women,Kurtas,Ethnic
4716,Unisex,Watches,Sports
21174,Women,Tops,Casual
15341,Women,Shorts,Sports
52486,Women,Camisoles,Casual
53554,Men,Boxers,Casual
14293,Men,Tshirts,Casual
47366,Women,Handbags,Casual
6041,Men,Tshirts,Casual
23623,Girls,Tops,Casual
17416,Men,Sports Shoes,Sports
9835,Women,Tshirts,Casual
29319,Unisex,Backpacks,Casual
7193,Women,Jeans,Casual
12958,Men,Sports Shoes,Sports
27283,Women,Kurtas,Ethnic
30234,Men,Flip Flops,Casual
9009,Women,Handbags,Casual
3533,Men,Tshirts,Casual
42614,Women,Jewellery Set,Casual
12164,Women,Dupatta,Ethnic
26351,Women,Watches,Casual
17624,Men,Track Pants,Sports
47154,Girls,Capris,Casual
35574,Men,Flip Flops,Casual
46086,Women,Sports Shoes,Sports
51031,Women,Bra,Casual
13284,Men,Shorts,Casual
54543,Men,Sports Shoes,Casual
55491,Women,Lip Gloss,Casual
26163,Men,Trousers,Formal
3701,Women,Tshirts,Casual
29917,Men,Watches,Casual
42426,Women,Kurtas,Ethnic
32751,Men,Casual Shoes,Casual
56214,Women,Earrings,Casual
10401,Women,Tops,Casual
40371,Women,Jeans,Casual
21346,Men,Sunglasses,Casual
45603,Men,Formal Shoes,Formal
4524,Men,Sports Shoes,Sports
37223,Women,Tops,Casual
53766,Men,Tshirts,Casual
25520,Girls,Tops,Casual
32597,Women,Tops,Casual
58974,Men,Deodorant,Casual
33445,Women,Wallets,Casual
57100,Women,Tops,Casual
36137,Women,Sports Shoes,Sports
41859,Men,Sandals,Casual
21180,Men,Flip Flops,Casual
39943,Men,Casual Shoes,Casual
52472,Women,Bath Robe,Casual
58148,Unisex,Caps,Casual
20052,Women,Mufflers,Casual
5630,Women,Flip Flops,Casual
44517,Men,Flip Flops,Casual
47392,Women,Handbags,Casual
50325,Women,Kurtas,Ethnic
8913,Men,Sports Shoes,Sports
16530,Men,Shirts,Casual
22705,Men,Casual Shoes,Casual
7167,Men,Shirts,Casual
46240,Women,Tunics,Casual
27277,Women,Kurtas,Ethnic
13042,Women,Flats,Casual
6889,Women,Jackets,Casual
31312,Women,Kurtas,Ethnic
12190,Men,Shirts,Casual
55657,Women,Heels,Casual
19578,Women,Tops,Casual
27879,Women,Tops,Casual
34452,Women,Flats,Casual
6287,Men,Tshirts,Casual
7355,Men,Tshirts,Casual
46072,Men,Belts,Casual
22537,Men,Sandals,Casual
28831,Women,Briefs,Casual
43500,Men,Tshirts,Casual
