id,gender,articleType,usage
15970,Men,Shirts,Casual
39386,Men,Jeans,Casual
21379,Men,Track Pants,Casual
53759,Men,Tshirts,Casual
1855,Men,Tshirts,Casual
29114,Men,Socks,Casual
30039,Men,Watches,Casual
9204,Men,Casual Shoes,Casual
18653,Men,Flip Flops,Casual
29928,Men,Watches,Casual
17429,Men,Watches,Casual
12967,Men,Sandals,Casual
18461,Men,Deodorant,Casual
56825,Men,Shirts,Casual
39988,Men,Casual Shoes,Casual
23278,Men,Watches,Casual
8580,Men,Waistcoat,Casual
17871,Men,Briefs,Casual
32138,Men,Briefs,Casual
5891,Men,Tshirts,Casual
4943,Men,Shirts,Casual
11188,Men,Watches,Casual
10866,Men,Tshirts,Casual
15528,Men,Tshirts,Casual
45258,Men,Watches,Casual
22198,Men,Casual Shoes,Casual
29570,Men,Casual Shoes,Casual
54924,Men,Shorts,Casual
26538,Men,Casual Shoes,Casual
49495,Men,Casual Shoes,Casual
9660,Men,Shirts,Casual
23876,Men,Sweatshirts,Casual
18237,Men,Tshirts,Casual
16957,Men,Sunglasses,Casual
19123,Men,Flip Flops,Casual
13419,Men,Tshirts,Casual
17885,Men,Innerwear Vests,Casual
43369,Men,Flip Flops,Casual
44970,Men,Watches,Casual
5865,Men,Tshirts,Casual
25349,Men,Briefs,Casual
11940,Men,Sandals,Casual
29584,Men,Tshirts,Casual
19311,Men,Casual Shoes,Casual
49461,Men,Casual Shoes,Casual
9694,Men,Tshirts,Casual
15984,Men,Shirts,Casual
33648,Men,Sandals,Casual
59297,Men,Shirts,Casual
28032,Men,Briefs,Casual
28200,Men,Sunglasses,Casual
7158,Men,Shirts,Casual
18495,Men,Sandals,Casual
8110,Men,Watches,Casual
19547,Men,Sweatshirts,Casual
41866,Men,Sandals,Casual
44528,Men,Sandals,Casual
16392,Men,Shirts,Casual
50587,Men,Briefs,Casual
17240,Men,Tshirts,Casual
6617,Men,Shirts,Casual
3365,Men,Tshirts,Casual
23849,Men,Casual Shoes,Casual
48578,Men,Bracelet,Casual
18208,Men,Caps,Casual
10065,Men,Tshirts,Casual
24250,Men,Casual Shoes,Casual
32335,Men,Watches,Casual
25382,Men,Innerwear Vests,Casual
56670,Men,Watches,Casual
5092,Men,Tshirts,Casual
10859,Men,Tshirts,Casual
15517,Men,Casual Shoes,Casual
36795,Men,Watches,Casual
40527,Men,Watches,Casual
24062,Men,Tshirts,Casual
45869,Men,Watches,Casual
51667,Men,Sunglasses,Casual
22395,Men,Shirts,Casual
18806,Men,Belts,Casual
12500,Men,Shirts,Casual
26735,Men,Deodorant,Casual
30650,Men,Tshirts,Casual
53554,Men,Boxers,Casual
14293,Men,Tshirts,Casual
6041,Men,Tshirts,Casual
30234,Men,Flip Flops,Casual
3533,Men,Tshirts,Casual
35574,Men,Flip Flops,Casual
13284,Men,Shorts,Casual
54543,Men,Sports Shoes,Casual
29917,Men,Watches,Casual
32751,Men,Casual Shoes,Casual
21346,Men,Sunglasses,Casual
53766,Men,Tshirts,Casual
58974,Men,Deodorant,Casual
41859,Men,Sandals,Casual
21180,Men,Flip Flops,Casual
39943,Men,Casual Shoes,Casual
44517,Men,Flip Flops,Casual
16530,Men,Shirts,Casual
22705,Men,Casual Shoes,Casual
7167,Men,Shirts,Casual
12190,Men,Shirts,Casual
6287,Men,Tshirts,Casual
7355,Men,Tshirts,Casual
46072,Men,Belts,Casual
22537,Men,Sandals,Casual
43500,Men,Tshirts,Casual
18698,Men,Briefs,Casual
26197,Men,Perfume and Body Mist,Casual
11527,Men,Tshirts,Casual
14869,Men,Wallets,Casual
15187,Men,Tshirts,Casual
14055,Men,Shirts,Casual
20260,Men,Tshirts,Casual
7731,Men,Flip Flops,Casual
22153,Men,Sandals,Casual
43958,Men,Sandals,Casual
50573,Men,Trunk,Casual
8779,Men,Shirts,Casual
43164,Men,Watches,Casual
25376,Men,Innerwear Vests,Casual
11143,Men,Shirts,Casual
44341,Men,Tshirts,Casual
36761,Men,Watches,Casual
11371,Men,Shirts,Casual
14603,Men,Socks,Casual
4386,Men,Tshirts,Casual
22361,Men,Sports Sandals,Casual
29789,Men,Tshirts,Casual
46624,Men,Deodorant,Casual
34204,Men,Track Pants,Casual
50741,Men,Casual Shoes,Casual
13426,Men,Tshirts,Casual
28207,Men,Sunglasses,Casual
13846,Men,Shirts,Casual
16508,Men,Jeans,Casual
18492,Men,Flip Flops,Casual
19540,Men,Sweaters,Casual
8117,Men,Watches,Casual
49230,Men,Socks,Casual
20856,Men,Casual Shoes,Casual
5608,Men,Sandals,Casual
15983,Men,Shirts,Casual
59290,Men,Watches,Casual
52678,Men,Watches,Casual
20258,Men,Tshirts,Casual
47198,Men,Sandals,Casual
27841,Men,Belts,Casual
28035,Men,Briefs,Casual
13248,Men,Trousers,Casual
19772,Men,Casual Shoes,Casual
46876,Men,Socks,Casual
5862,Men,Tshirts,Casual
39711,Men,Watches,Casual
58726,Men,Tshirts,Casual
44379,Men,Perfume and Body Mist,Casual
11947,Men,Sandals,Casual
36759,Men,Watches,Casual
8741,Men,Shirts,Casual
22359,Men,Shirts,Casual
16950,Men,Sunglasses,Casual
17882,Men,Innerwear Vests,Casual
44977,Men,Watches,Casual
52812,Men,Wallets,Casual
11349,Men,Jeans,Casual
24892,Men,Tshirts,Casual
38637,Men,Tshirts,Casual
5896,Men,Casual Shoes,Casual
4944,Men,Shirts,Casual
10861,Men,Tshirts,Casual
47508,Men,Briefs,Casual
17278,Men,Tshirts,Casual
31588,Men,Tshirts,Casual
49492,Men,Casual Shoes,Casual
18230,Men,Tshirts,Casual
23871,Men,Tshirts,Casual
9667,Men,Shirts,Casual
29745,Men,Watches,Casual
12538,Men,Track Pants,Casual
8587,Men,Shirts,Casual
17876,Men,Innerwear Vests,Casual
30668,Men,Sunglasses,Casual
24866,Men,Belts,Casual
6079,Men,Tshirts,Casual
9031,Men,Casual Shoes,Casual
33489,Men,Shirts,Casual
15379,Men,Casual Shoes,Casual
56822,Men,Trousers,Casual
39381,Men,Jeans,Casual
15977,Men,Shirts,Casual
32769,Men,Tshirts,Casual
10439,Men,Tshirts,Casual
1852,Men,Tshirts,Casual
19786,Men,Tshirts,Casual
24091,Men,Tshirts,Casual
14604,Men,Socks,Casual
4381,Men,Tshirts,Casual
19927,Men,Sandals,Casual
22366,Men,Tshirts,Casual
3998,Men,Flip Flops,Casual
34203,Men,Track Pants,Casual
13421,Men,Tshirts,Casual
27614,Men,Trousers,Casual
46411,Men,Sweatshirts,Casual
7736,Men,Caps,Casual
50574,Men,Trunk,Casual
31543,Men,Tshirts,Casual
19329,Men,Casual Shoes,Casual
13613,Men,Innerwear Vests,Casual
43163,Men,Watches,Casual
11144,Men,Shirts,Casual
25371,Men,Innerwear Vests,Casual
11978,Men,Sandals,Casual
36766,Men,Watches,Casual
6280,Men,Tshirts,Casual
46075,Men,Belts,Casual
35587,Men,Sandals,Casual
7352,Men,Tshirts,Casual
43507,Men,Tshirts,Casual
26190,Men,Perfume and Body Mist,Casual
38298,Men,Wallets,Casual
14052,Men,Shirts,Casual
53795,Men,Tshirts,Casual
11712,Men,Shirts,Casual
20869,Men,Sandals,Casual
39944,Men,Casual Shoes,Casual
21187,Men,Flip Flops,Casual
36130,Men,Casual Shoes,Casual
28238,Men,Deodorant,Casual
13879,Men,Shirts,Casual
16537,Men,Caps,Casual
12197,Men,Tshirts,Casual
46081,Men,Sandals,Casual
35573,Men,Flip Flops,Casual
13283,Men,Shirts,Casual
29910,Men,Watches,Casual
3706,Men,Tshirts,Casual
15174,Men,Tshirts,Casual
21341,Men,Sunglasses,Casual
53761,Men,Tshirts,Casual
15346,Men,Tshirts,Casual
14294,Men,Tshirts,Casual
6046,Men,Shirts,Casual
30233,Men,Casual Shoes,Casual
18459,Men,Deodorant,Casual
24065,Men,Shirts,Casual
40520,Men,Watches,Casual
37472,Men,Watches,Casual
4375,Men,Tshirts,Casual
51660,Men,Watches,Casual
18801,Men,Belts,Casual
12507,Men,Casual Shoes,Casual
29548,Men,Tshirts,Casual
16395,Men,Shirts,Casual
6610,Men,Tshirts,Casual
17247,Men,Tshirts,Casual
42045,Men,Casual Shoes,Casual
3362,Men,Tshirts,Casual
9658,Men,Shirts,Casual
38608,Men,Tshirts,Casual
24257,Men,Casual Shoes,Casual
10062,Men,Tshirts,Casual
56677,Men,Watches,Casual
25385,Men,Briefs,Casual
5095,Men,Tshirts,Casual
45260,Men,Watches,Casual
15510,Men,Casual Shoes,Casual
21725,Men,Sweatshirts,Casual
46418,Men,Watches,Casual
48582,Men,Bracelet,Casual
