id,gender,articleType,usage
12369,Men,Shirts,Formal
9036,Men,Formal Shoes,Formal
37812,Men,Shirts,Formal
18839,Men,Belts,Formal
9452,Men,Shirts,Formal
10268,Men,Formal Shoes,Formal
59435,Men,Formal Shoes,Formal
10257,Men,Trousers,Formal
23247,Men,Formal Shoes,Formal
10633,Men,Formal Shoes,Formal
26163,Men,Trousers,Formal
45603,Men,Formal Shoes,Formal
16154,Men,Formal Shoes,Formal
43960,Men,Shirts,Formal
9455,Men,Shirts,Formal
7399,Men,Formal Shoes,Formal
16153,Men,Formal Shoes,Formal
50746,Men,Formal Shoes,Formal
22154,Men,Formal Shoes,Formal
16361,Men,Shirts,Formal
41250,Men,Belts,Formal
26164,Men,Trousers,Formal
15948,Men,Ties,Formal
45604,Men,Formal Shoes,Formal
10634,Men,Formal Shoes,Formal
23072,Men,Trousers,Formal
16368,Men,Trousers,Formal
44941,Men,Formal Shoes,Formal
12358,Men,Shirts,Formal
9235,Men,Shirts,Formal
10259,Men,Trousers,Formal
24850,Men,Belts,Formal
23249,Men,Formal Shoes,Formal
9463,Men,Shirts,Formal
49696,Men,Ties,Formal
47191,Men,Formal Shoes,Formal
12393,Men,Socks,Formal
50314,Men,Ties,Formal
16357,Men,Shirts,Formal
18837,Men,Belts,Formal
5291,Men,Formal Shoes,Formal
7390,Men,Formal Shoes,Formal
26152,Men,Trousers,Formal
12367,Men,Shirts,Formal
9804,Men,Shirts,Formal
9038,Men,Formal Shoes,Formal
9464,Men,Shirts,Formal
15946,Men,Ties,Formal
11378,Men,Shirts,Formal
19929,Men,Accessory Gift Set,Formal
36768,Men,Watches,Formal
32767,Men,Shirts,Formal
7397,Men,Formal Shoes,Formal
12360,Men,Shirts,Formal
26155,Men,Trousers,Formal
18830,Men,Belts,Formal
10261,Men,Trousers,Formal
16350,Men,Shirts,Formal
50777,Men,Formal Shoes,Formal
50313,Men,Ties,Formal
7363,Men,Formal Shoes,Formal
12394,Men,Socks,Formal
