id,gender,articleType,usage
11324,Men,Trousers,Smart Casual
20715,Men,Casual Shoes,Smart Casual
46536,Men,Watches,Smart Casual
29457,Men,Watches,Smart Casual
58807,Men,Shirts,Smart Casual
33703,Men,Formal Shoes,Smart Casual
39405,Men,Shirts,Smart Casual
46539,Men,Watches,Smart Casual
20714,Men,Casual Shoes,Smart Casual
38122,Men,Trousers,Smart Casual
58808,Men,Shirts,Smart Casual
33702,Men,Formal Shoes,Smart Casual
33705,Men,Formal Shoes,Smart Casual
20709,Men,Casual Shoes,Smart Casual
9752,Men,Shirts,Smart Casual
33787,Men,Shirts,Smart Casual
9738,Men,Shirts,Smart Casual
46549,Men,Watches,Smart Casual
46540,Men,Watches,Smart Casual
19429,Men,Shirts,Smart Casual
34133,Men,Wallets,Smart Casual
34134,Men,Wallets,Smart Casual
58794,Men,Shirts,Smart Casual
58793,Men,Shirts,Smart Casual
59213,Men,Watches,Smart Casual
58795,Men,Shirts,Smart Casual
2633,Men,Heels,Smart Casual
45252,Men,Watches,Smart Casual
4181,Men,Formal Shoes,Smart Casual
4180,Men,Formal Shoes,Smart Casual
10297,Men,Casual Shoes,Smart Casual
46561,Men,Watches,Smart Casual
29409,Men,Watches,Smart Casual
46557,Men,Watches,Smart Casual
45114,Men,Watches,Smart Casual
20711,Men,Casual Shoes,Smart Casual
20716,Men,Casual Shoes,Smart Casual
46556,Men,Watches,Smart Casual
58802,Men,Shirts,Smart Casual
50831,Men,Belts,Smart Casual
29470,Men,Watches,Smart Casual
46542,Men,Watches,Smart Casual
45139,Men,Watches,Smart Casual
39414,Men,Shirts,Smart Casual
49739,Men,Ties,Smart Casual
10277,Men,Formal Shoes,Smart Casual
37463,Men,Wallets,Smart Casual
33695,Men,Formal Shoes,Smart Casual
58797,Men,Shirts,Smart Casual
33694,Men,Formal Shoes,Smart Casual
58796,Men,Shirts,Smart Casual
57518,Men,Casual Shoes,Smart Casual
