id,gender,articleType,usage
13089,Men,Sweatshirts,Sports
7990,Men,Tshirts,Sports
3168,Men,Sports Shoes,Sports
18005,Men,Shorts,Sports
6628,Men,Sports Shoes,Sports
33822,Men,Sports Shoes,Sports
42089,Men,Sports Shoes,Sports
23882,Men,Sports Shoes,Sports
34835,Men,Sports Shoes,Sports
7964,Men,Tshirts,Sports
42042,Men,Sports Shoes,Sports
17416,Men,Sports Shoes,Sports
12958,Men,Sports Shoes,Sports
17624,Men,Track Pants,Sports
4524,Men,Sports Shoes,Sports
8913,Men,Sports Shoes,Sports
2243,Men,Tshirts,Sports
7503,Men,Tshirts,Sports
7963,Men,Tshirts,Sports
53598,Men,Free Gifts,Sports
34832,Men,Sports Shoes,Sports
23885,Men,Sports Shoes,Sports
2049,Men,Tshirts,Sports
41439,Men,Sports Shoes,Sports
16198,Men,Tracksuits,Sports
12960,Men,Sports Shoes,Sports
29321,Men,Tshirts,Sports
3739,Men,Caps,Sports
44948,Men,Sports Shoes,Sports
2620,Men,Tshirts,Sports
5405,Men,Sports Shoes,Sports
8914,Men,Sports Shoes,Sports
17623,Men,Track Pants,Sports
54544,Men,Sports Shoes,Sports
4523,Men,Sports Shoes,Sports
17411,Men,Sports Shoes,Sports
1607,Men,Track Pants,Sports
15722,Men,Sports Shoes,Sports
3150,Men,Sports Shoes,Sports
4986,Men,Tshirts,Sports
11971,Men,Sports Shoes,Sports
28655,Men,Sports Shoes,Sports
16966,Men,Sports Shoes,Sports
36139,Men,Sports Shoes,Sports
7955,Men,Tshirts,Sports
24408,Men,Sports Shoes,Sports
12956,Men,Sports Shoes,Sports
6619,Men,Sports Shoes,Sports
23847,Men,Sports Shoes,Sports
11985,Men,Sports Shoes,Sports
17840,Men,Sports Shoes,Sports
3159,Men,Sports Shoes,Sports
7532,Men,Tshirts,Sports
2272,Men,Tshirts,Sports
42087,Men,Sports Shoes,Sports
26704,Men,Sports Shoes,Sports
15714,Men,Sports Shoes,Sports
4171,Men,Sports Shoes,Sports
6626,Men,Sports Shoes,Sports
2286,Men,Sweatshirts,Sports
4515,Men,Sports Shoes,Sports
3730,Men,Tshirts,Sports
12969,Men,Sports Shoes,Sports
35777,Men,Sports Shoes,Sports
10602,Men,Tshirts,Sports
17847,Men,Sports Shoes,Sports
1897,Men,Tshirts,Sports
7952,Men,Tshirts,Sports
28652,Men,Sports Shoes,Sports
6621,Men,Sports Shoes,Sports
12704,Men,Sports Shoes,Sports
16196,Men,Jackets,Sports
3161,Men,Sports Shoes,Sports
26703,Men,Sports Shoes,Sports
1636,Men,Sports Shoes,Sports
4344,Men,Sports Shoes,Sports
15713,Men,Sports Shoes,Sports
2275,Men,Tshirts,Sports
22959,Men,Sports Shoes,Sports
7535,Men,Tshirts,Sports
43360,Men,Sports Shoes,Sports
2047,Men,Tshirts,Sports
41437,Men,Sports Shoes,Sports
5434,Men,Tshirts,Sports
54521,Men,Sports Shoes,Sports
4546,Men,Sports Shoes,Sports
15747,Men,Sports Shoes,Sports
1662,Men,Jackets,Sports
30632,Men,Tshirts,Sports
3307,Men,Sports Shoes,Sports
6675,Men,Sports Shoes,Sports
32191,Men,Sports Shoes,Sports
8529,Men,Sports Shoes,Sports
28639,Men,Tshirts,Sports
7561,Men,Tshirts,Sports
13676,Men,Sports Shoes,Sports
7753,Men,Sports Shoes,Sports
58318,Men,Socks,Sports
7939,Men,Tshirts,Sports
2477,Men,Sports Shoes,Sports
8971,Men,Sports Shoes,Sports
3338,Men,Tshirts,Sports
19387,Men,Sports Shoes,Sports
34259,Men,Tracksuits,Sports
4787,Men,Shorts,Sports
8976,Men,Sports Shoes,Sports
13215,Men,Sports Shoes,Sports
31979,Men,Sports Shoes,Sports
5467,Men,Sports Shoes,Sports
41232,Men,Sports Shoes,Sports
26596,Men,Sports Shoes,Sports
2014,Men,Tshirts,Sports
7566,Men,Tshirts,Sports
3300,Men,Sports Shoes,Sports
4125,Men,Tshirts,Sports
7592,Men,Sports Shoes,Sports
15324,Men,Sweatshirts,Sports
54526,Men,Sports Shoes,Sports
7559,Men,Tshirts,Sports
34850,Men,Sports Shoes,Sports
22109,Men,Sports Shoes,Sports
5458,Men,Track Pants,Sports
58320,Men,Socks,Sports
18636,Men,Tshirts,Sports
9053,Men,Sports Shoes,Sports
38655,Men,Sports Shoes,Sports
2210,Men,Tshirts,Sports
27640,Men,Sports Shoes,Sports
7550,Men,Tshirts,Sports
34257,Men,Tracksuits,Sports
28608,Men,Sports Shoes,Sports
34633,Men,Sports Shoes,Sports
39910,Men,Sports Shoes,Sports
25573,Men,Sports Shoes,Sports
5451,Men,Shorts,Sports
