id,gender,articleType,usage
30805,Men,Shirts,Ethnic
30802,Men,Shirts,Ethnic
32196,Men,Kurtas,Ethnic
32198,Men,Kurtas,Ethnic
30803,Men,Shirts,Ethnic
30804,Men,Shirts,Ethnic
32199,Men,Kurtas,Ethnic
32197,Men,Kurtas,Ethnic
30741,Men,Nehru Jackets,Ethnic
30779,Men,Kurtas,Ethnic
30746,Men,Kurtas,Ethnic
30784,Men,Kurtas,Ethnic
30770,Men,Kurtas,Ethnic
30748,Men,Kurtas,Ethnic
30777,Men,Kurtas,Ethnic
30783,Men,Kurtas,Ethnic
56703,Men,Kurtas,Ethnic
56704,Men,Kurtas,Ethnic
30749,Men,Kurtas,Ethnic
30782,Men,Kurtas,Ethnic
30776,Men,Kurtis,Ethnic
30771,Men,Kurtas,Ethnic
30785,Men,Kurtas,Ethnic
30778,Men,Kurtas,Ethnic
30747,Men,Kurtas,Ethnic
30740,Men,Nehru Jackets,Ethnic
56702,Men,Kurtas,Ethnic
30738,Men,Nehru Jackets,Ethnic
30736,Men,Churidar,Ethnic
30796,Men,Shirts,Ethnic
30762,Men,Kurtas,Ethnic
30765,Men,Kurtas,Ethnic
32200,Men,Kurtas,Ethnic
30791,Men,Kurtas,Ethnic
30753,Men,Kurtas,Ethnic
15084,Men,Churidar,Ethnic
30798,Men,Shirts,Ethnic
15083,Men,Churidar,Ethnic
30754,Men,Kurtas,Ethnic
30737,Men,Waistcoat,Ethnic
30739,Men,Nehru Jackets,Ethnic
30755,Men,Kurtas,Ethnic
15085,Men,Kurtas,Ethnic
30752,Men,Kurtas,Ethnic
30799,Men,Shirts,Ethnic
30790,Men,Kurtas,Ethnic
32201,Men,Kurtas,Ethnic
30764,Men,Kurtas,Ethnic
30763,Men,Kurtas,Ethnic
30797,Men,Shirts,Ethnic
56698,Men,Kurtas,Ethnic
56696,Men,Kurtas,Ethnic
56691,Men,Kurtas,Ethnic
28489,Men,Kurtas,Ethnic
56697,Men,Kurtas,Ethnic
56699,Men,Kurtas,Ethnic
30801,Men,Shirts,Ethnic
56687,Men,Kurtas,Ethnic
56689,Men,Kurtas,Ethnic
56688,Men,Kurtas,Ethnic
30807,Men,Shirts,Ethnic
30800,Men,Shirts,Ethnic
20328,Men,Kurtas,Ethnic
56700,Men,Kurtas,Ethnic
30745,Men,Kurtas,Ethnic
30789,Men,Kurtas,Ethnic
30742,Men,Nehru Jackets,Ethnic
36810,Men,Perfume and Body Mist,Ethnic
30774,Men,Kurtas,Ethnic
30780,Men,Kurtas,Ethnic
30787,Men,Kurtas,Ethnic
30773,Men,Kurtas,Ethnic
56701,Men,Kurtas,Ethnic
20329,Men,Kurtas,Ethnic
30772,Men,Kurtas,Ethnic
30786,Men,Kurtas,Ethnic
30781,Men,Kurtas,Ethnic
30775,Men,Kurtas,Ethnic
30788,Men,Kurtas,Ethnic
30743,Men,Kurtas,Ethnic
30744,Men,Kurtas,Ethnic
32203,Men,Kurtas,Ethnic
30766,Men,Kurtas,Ethnic
30759,Men,Kurtas,Ethnic
30761,Men,Kurtas,Ethnic
32204,Men,Kurtas,Ethnic
30757,Men,Kurtas,Ethnic
30768,Men,Kurtas,Ethnic
30750,Men,Kurtas,Ethnic
49700,Men,Ties,Ethnic
30735,Men,Churidar,Ethnic
30751,Men,Kurtas,Ethnic
30756,Men,Kurtas,Ethnic
30769,Men,Kurtas,Ethnic
30760,Men,Kurtas,Ethnic
30794,Men,Shirts,Ethnic
15088,Men,Kurtis,Ethnic
30793,Men,Shirts,Ethnic
30767,Men,Kurtas,Ethnic
32202,Men,Kurtas,Ethnic
30758,Men,Kurtas,Ethnic
30733,Men,Churidar,Ethnic
30734,Men,Churidar,Ethnic
56692,Men,Kurtas,Ethnic
56695,Men,Kurtas,Ethnic
56694,Men,Kurtas,Ethnic
56693,Men,Kurtas,Ethnic
30723,Boys,Kurtas,Ethnic
30724,Boys,Kurtas,Ethnic
30715,Boys,Kurta Sets,Ethnic
30714,Boys,Churidar,Ethnic
30722,Boys,Kurtas,Ethnic
30718,Boys,Kurta Sets,Ethnic
30720,Boys,Kurtas,Ethnic
30716,Boys,Kurta Sets,Ethnic
30717,Boys,Kurta Sets,Ethnic
30721,Boys,Kurtas,Ethnic
