id,gender,articleType,usage
52023,Men,Jackets,Travel
12348,Men,Handbags,Travel
39921,Unisex,Duffel Bag,Travel
4601,Unisex,Rucksacks,Travel
22683,Unisex,Duffel Bag,Travel
39487,Unisex,Mobile Pouch,Travel
1565,Unisex,Backpacks,Travel
25886,Unisex,Backpacks,Travel
35828,Unisex,Handbags,Travel
1793,Unisex,Backpacks,Travel
25887,Unisex,Backpacks,Travel
13493,Unisex,Rucksacks,Travel
8352,Unisex,Backpacks,Travel
7100,Unisex,Duffel Bag,Travel
22675,Unisex,Backpacks,Travel
4602,Unisex,Backpacks,Travel
25885,Unisex,Backpacks,Travel
38962,Unisex,Rucksacks,Travel
1559,Unisex,Backpacks,Travel
1557,Unisex,Backpacks,Travel
38964,Unisex,Rucksacks,Travel
7113,Unisex,Rucksacks,Travel
