id,articleType,usage
15970,Shirts,Casual
39386,Jeans,Casual
21379,Track Pants,Casual
53759,Tshirts,Casual
1855,Tshirts,Casual
30805,Shirts,Ethnic
29114,Socks,Casual
30039,Watches,Casual
9204,Casual Shoes,Casual
18653,Flip Flops,Casual
12369,Shirts,Formal
29928,Watches,Casual
17429,Watches,Casual
12967,Sandals,Casual
13089,Sweatshirts,Sports
18461,Deodorant,Casual
9036,Formal Shoes,Formal
7990,Tshirts,Sports
37812,Shirts,Formal
56825,Shirts,Casual
39988,Casual Shoes,Casual
18839,Belts,Formal
23278,Watches,Casual
8580,Waistcoat,Casual
3168,Sports Shoes,Sports
18005,Shorts,Sports
17871,Briefs,Casual
9452,Shirts,Formal
10268,Formal Shoes,Formal
32138,Briefs,Casual
59435,Formal Shoes,Formal
5891,Tshirts,Casual
4943,Shirts,Casual
11188,Watches,Casual
10866,Tshirts,Casual
15528,Tshirts,Casual
45258,Watches,Casual
22198,Casual Shoes,Casual
29570,Casual Shoes,Casual
6628,Sports Shoes,Sports
54924,Shorts,Casual
26538,Casual Shoes,Casual
49495,Casual Shoes,Casual
9660,Shirts,Casual
23876,Sweatshirts,Casual
18237,Tshirts,Casual
16957,Sunglasses,Casual
19123,Flip Flops,Casual
13419,Tshirts,Casual
17885,Innerwear Vests,Casual
43369,Flip Flops,Casual
44970,Watches,Casual
33822,Sports Shoes,Sports
5865,Tshirts,Casual
25349,Briefs,Casual
11940,Sandals,Casual
29584,Tshirts,Casual
19311,Casual Shoes,Casual
42089,Sports Shoes,Sports
49461,Casual Shoes,Casual
9694,Tshirts,Casual
23882,Sports Shoes,Sports
34835,Sports Shoes,Sports
15984,Shirts,Casual
41268,Wallets,Casual
33648,Sandals,Casual
59297,Shirts,Casual
28032,Briefs,Casual
28200,Sunglasses,Casual
7158,Shirts,Casual
18495,Sandals,Casual
8110,Watches,Casual
19547,Sweatshirts,Casual
7964,Tshirts,Sports
41866,Sandals,Casual
44528,Sandals,Casual
16392,Shirts,Casual
50587,Briefs,Casual
17240,Tshirts,Casual
6617,Shirts,Casual
3365,Tshirts,Casual
42042,Sports Shoes,Sports
23849,Casual Shoes,Casual
48578,Bracelet,Casual
18208,Caps,Casual
10065,Tshirts,Casual
24250,Casual Shoes,Casual
32335,Watches,Casual
25382,Innerwear Vests,Casual
56670,Watches,Casual
5092,Tshirts,Casual
10859,Tshirts,Casual
15517,Casual Shoes,Casual
36795,Watches,Casual
40527,Watches,Casual
10257,Trousers,Formal
24062,Tshirts,Casual
45869,Watches,Casual
51667,Sunglasses,Casual
22395,Shirts,Casual
18806,Belts,Casual
23247,Formal Shoes,Formal
12500,Shirts,Casual
26735,Deodorant,Casual
30650,Tshirts,Casual
10633,Formal Shoes,Formal
53554,Boxers,Casual
14293,Tshirts,Casual
6041,Tshirts,Casual
17416,Sports Shoes,Sports
12958,Sports Shoes,Sports
30234,Flip Flops,Casual
3533,Tshirts,Casual
17624,Track Pants,Sports
35574,Flip Flops,Casual
13284,Shorts,Casual
54543,Sports Shoes,Casual
26163,Trousers,Formal
29917,Watches,Casual
32751,Casual Shoes,Casual
21346,Sunglasses,Casual
45603,Formal Shoes,Formal
4524,Sports Shoes,Sports
53766,Tshirts,Casual
58974,Deodorant,Casual
41859,Sandals,Casual
21180,Flip Flops,Casual
39943,Casual Shoes,Casual
44517,Flip Flops,Casual
8913,Sports Shoes,Sports
16530,Shirts,Casual
22705,Casual Shoes,Casual
7167,Shirts,Casual
12190,Shirts,Casual
6287,Tshirts,Casual
7355,Tshirts,Casual
46072,Belts,Casual
22537,Sandals,Casual
43500,Tshirts,Casual
18698,Briefs,Casual
26197,Perfume and Body Mist,Casual
11527,Tshirts,Casual
14869,Wallets,Casual
15187,Tshirts,Casual
14055,Shirts,Casual
20260,Tshirts,Casual
7731,Flip Flops,Casual
22153,Sandals,Casual
43958,Sandals,Casual
50573,Trunk,Casual
8779,Shirts,Casual
43164,Watches,Casual
2243,Tshirts,Sports
25376,Innerwear Vests,Casual
11143,Shirts,Casual
44341,Tshirts,Casual
36761,Watches,Casual
11371,Shirts,Casual
14603,Socks,Casual
4386,Tshirts,Casual
16154,Formal Shoes,Formal
22361,Sports Sandals,Casual
29789,Tshirts,Casual
7503,Tshirts,Sports
46624,Deodorant,Casual
34204,Track Pants,Casual
50741,Casual Shoes,Casual
13426,Tshirts,Casual
28207,Sunglasses,Casual
13846,Shirts,Casual
16508,Jeans,Casual
18492,Flip Flops,Casual
19540,Sweaters,Casual
7963,Tshirts,Sports
8117,Watches,Casual
49230,Socks,Casual
20856,Casual Shoes,Casual
41861,Sandals,Casual
5608,Sandals,Casual
53598,Free Gifts,Sports
15983,Shirts,Casual
59290,Watches,Casual
52678,Watches,Casual
20258,Tshirts,Casual
47198,Sandals,Casual
27841,Belts,Casual
