id,articleType,usage
15970,shirt,Casual
39386,trouser,Casual
21379,trouser,Casual
53759,tshirt,Casual
1855,tshirt,Casual
30805,shirt,Formal
12369,shirt,Formal
7990,tshirt,Casual
37812,shirt,Formal
56825,shirt,Casual
18005,trouser,Casual
9452,shirt,Formal
5891,tshirt,Casual
4943,shirt,Casual
10866,tshirt,Casual
15528,tshirt,Casual
54924,trouser,Casual
9660,shirt,Casual
18237,tshirt,Casual
13419,tshirt,Casual
17885,tshirt,Casual
5865,tshirt,Casual
29584,tshirt,Casual
9694,tshirt,Casual
15984,shirt,Casual
59297,shirt,Casual
7158,shirt,Casual
7964,tshirt,Casual
16392,shirt,Casual
17240,tshirt,Casual
6617,shirt,Casual
3365,tshirt,Casual
10065,tshirt,Casual
25382,tshirt,Casual
5092,tshirt,Casual
10859,tshirt,Casual
10257,trouser,Formal
24062,tshirt,Casual
22395,shirt,Casual
12500,shirt,Casual
30650,tshirt,Casual
53554,trouser,Casual
14293,tshirt,Casual
6041,tshirt,Casual
3533,tshirt,Casual
17624,trouser,Casual
13284,trouser,Casual
26163,trouser,Formal
53766,tshirt,Casual
16530,shirt,Casual
7167,shirt,Casual
12190,shirt,Casual
6287,tshirt,Casual
7355,tshirt,Casual
43500,tshirt,Casual
11527,tshirt,Casual
15187,tshirt,Casual
14055,shirt,Casual
20260,tshirt,Casual
8779,shirt,Casual
2243,tshirt,Casual
25376,tshirt,Casual
11143,shirt,Casual
44341,tshirt,Casual
11371,shirt,Casual
4386,tshirt,Casual
29789,tshirt,Casual
7503,tshirt,Casual
34204,trouser,Casual
13426,tshirt,Casual
13846,shirt,Casual
16508,trouser,Casual
19540,tshirt,Casual
7963,tshirt,Casual
15983,shirt,Casual
20258,tshirt,Casual
13248,trouser,Casual
5862,tshirt,Casual
58726,tshirt,Casual
43960,shirt,Formal
8741,shirt,Casual
22359,shirt,Casual
2049,tshirt,Casual
17882,tshirt,Casual
11349,trouser,Casual
24892,tshirt,Casual
38637,tshirt,Casual
4944,shirt,Casual
10861,tshirt,Casual
17278,tshirt,Casual
31588,tshirt,Casual
18230,tshirt,Casual
23871,tshirt,Casual
9667,shirt,Casual
12538,trouser,Casual
8587,shirt,Casual
17876,tshirt,Casual
9455,shirt,Formal
6079,tshirt,Casual
29321,tshirt,Casual
33489,shirt,Casual
56822,trouser,Casual
39381,trouser,Casual
15977,shirt,Casual
32769,tshirt,Casual
10439,tshirt,Casual
1852,tshirt,Casual
30802,shirt,Formal
19786,tshirt,Casual
24091,tshirt,Casual
4381,tshirt,Casual
22366,tshirt,Casual
34203,trouser,Casual
13421,tshirt,Casual
27614,trouser,Casual
16361,shirt,Formal
31543,tshirt,Casual
13613,tshirt,Casual
11144,shirt,Casual
25371,tshirt,Casual
6280,tshirt,Casual
7352,tshirt,Casual
2620,tshirt,Casual
43507,tshirt,Casual
14052,shirt,Casual
53795,tshirt,Casual
11712,shirt,Casual
13879,shirt,Casual
12197,tshirt,Casual
17623,trouser,Casual
13283,shirt,Casual
3706,tshirt,Casual
26164,trouser,Formal
15174,tshirt,Casual
53761,tshirt,Casual
15346,tshirt,Casual
14294,tshirt,Casual
6046,shirt,Casual
24065,shirt,Casual
1607,trouser,Casual
4375,tshirt,Casual
29548,tshirt,Casual
16395,shirt,Casual
6610,tshirt,Casual
17247,tshirt,Casual
23072,trouser,Formal
3362,tshirt,Casual
9658,shirt,Casual
38608,tshirt,Casual
10062,tshirt,Casual
5095,tshirt,Casual
16368,trouser,Formal
8777,shirt,Casual
25378,tshirt,Casual
4986,tshirt,Casual
4388,tshirt,Casual
2843,tshirt,Casual
3991,tshirt,Casual
29787,tshirt,Casual
13428,tshirt,Casual
19112,tshirt,Casual
57932,tshirt,Casual
7169,shirt,Casual
13870,shirt,Casual
7955,tshirt,Casual
6289,tshirt,Casual
11529,tshirt,Casual
1890,tshirt,Casual
15189,tshirt,Casual
13884,shirt,Casual
19582,tshirt,Casual
12358,shirt,Formal
9235,shirt,Formal
53768,tshirt,Casual
54915,tshirt,Casual
9651,shirt,Casual
8783,shirt,Casual
4972,shirt,Casual
38601,tshirt,Casual
10857,tshirt,Casual
10259,trouser,Formal
29773,shirt,Casual
9463,shirt,Formal
20251,tshirt,Casual
14064,tshirt,Casual
5433,tshirt,Casual
59299,shirt,Casual
7156,shirt,Casual
16501,tshirt,Casual
6084,tshirt,Casual
34235,tshirt,Casual
7532,tshirt,Casual
22350,shirt,Casual
2040,tshirt,Casual
13417,shirt,Casual
27622,trouser,Casual
3192,tshirt,Casual
11340,trouser,Casual
36562,tshirt,Casual
11172,tshirt,Casual
41602,shirt,Casual
17285,tshirt,Casual
16357,shirt,Formal
2272,tshirt,Casual
8748,shirt,Casual
16191,tshirt,Casual
24053,tshirt,Casual
17271,tshirt,Casual
30453,trouser,Casual
31581,tshirt,Casual
3354,tshirt,Casual
10430,shirt,Casual
39388,trouser,Casual
14090,tshirt,Casual
37212,shirt,Casual
3730,tshirt,Casual
26152,trouser,Formal
12367,shirt,Formal
9804,shirt,Formal
10602,tshirt,Casual
29774,shirt,Casual
9464,shirt,Formal
17249,tshirt,Casual
29546,tshirt,Casual
9656,shirt,Casual
4975,tshirt,Casual
38606,tshirt,Casual
10850,tshirt,Casual
3708,tshirt,Casual
1863,tshirt,Casual
15348,tshirt,Casual
12951,shirt,Casual
6048,shirt,Casual
13883,shirt,Casual
8314,shirt,Casual
39344,tshirt,Casual
1897,tshirt,Casual
25529,shirt,Casual
16539,shirt,Casual
13877,shirt,Casual
19571,tshirt,Casual
12199,tshirt,Casual
7952,tshirt,Casual
11378,shirt,Formal
2844,tshirt,Casual
29780,trouser,Casual
22368,tshirt,Casual
19115,tshirt,Casual
23088,trouser,Casual
44348,shirt,Casual
33487,shirt,Casual
10437,shirt,Casual
32767,shirt,Formal
37215,shirt,Casual
14097,tshirt,Casual
15145,shirt,Casual
6245,tshirt,Casual
19788,tshirt,Casual
12360,shirt,Formal
26155,trouser,Formal
24266,tshirt,Casual
38639,tshirt,Casual
17276,tshirt,Casual
47506,tshirt,Casual
9669,shirt,Casual
31586,tshirt,Casual
3353,tshirt,Casual
17878,tshirt,Casual
8589,shirt,Casual
10261,trouser,Formal
24054,tshirt,Casual
41605,shirt,Casual
11175,tshirt,Casual
17282,tshirt,Casual
16350,shirt,Formal
2275,tshirt,Casual
34232,tshirt,Casual
22357,shirt,Casual
7535,tshirt,Casual
27625,trouser,Casual
13410,shirt,Casual
2047,tshirt,Casual
11347,trouser,Casual
16506,trouser,Casual
13848,tshirt,Casual
5434,tshirt,Casual
14063,tshirt,Casual
20256,tshirt,Casual
28807,shirt,Casual
13246,trouser,Casual
3763,tshirt,Casual
26101,shirt,Formal
9259,shirt,Formal
16794,shirt,Casual
5494,tshirt,Casual
45661,tshirt,Casual
15111,trouser,Formal
10463,tshirt,Casual
44581,trouser,Casual
32501,shirt,Casual
11783,tshirt,Casual
9857,tshirt,Casual
6023,tshirt,Casual
32959,tshirt,Casual
52080,tshirt,Casual
53152,shirt,Formal
14695,trouser,Casual
30632,tshirt,Casual
33285,tshirt,Casual
21586,trouser,Casual
52074,tshirt,Casual
14661,shirt,Casual
28639,tshirt,Casual
7561,tshirt,Casual
15581,tshirt,Casual
20666,tshirt,Casual
5838,tshirt,Casual
31142,shirt,Formal
28853,tshirt,Casual
14037,shirt,Casual
20030,shirt,Casual
11777,tshirt,Casual
7939,tshirt,Casual
27215,trouser,Casual
16552,tshirt,Casual
39780,shirt,Casual
9602,shirt,Casual
3338,tshirt,Casual
35971,tshirt,Casual
54946,tshirt,Casual
23028,shirt,Formal
51408,shirt,Casual
7798,tshirt,Casual
8186,shirt,Casual
48373,shirt,Casual
9868,tshirt,Casual
56847,trouser,Casual
15912,shirt,Formal
18631,tshirt,Casual
9266,shirt,Casual
7906,tshirt,Casual
19525,tshirt,Casual
48387,trouser,Casual
14008,tshirt,Casual
19717,shirt,Casual
58743,tshirt,Casual
8724,shirt,Casual
5209,tshirt,Casual
58571,trouser,Casual
44912,trouser,Casual
4787,trouser,Casual
11770,tshirt,Casual
27212,shirt,Casual
16555,tshirt,Casual
28854,tshirt,Casual
10490,shirt,Casual
6686,tshirt,Casual
16303,shirt,Casual
52073,tshirt,Casual
14666,shirt,Casual
5231,tshirt,Casual
32196,shirt,Formal
2014,tshirt,Casual
7566,tshirt,Casual
12757,tshirt,Casual
51430,shirt,Casual
4125,tshirt,Casual
30635,tshirt,Casual
3132,tshirt,Casual
44586,trouser,Casual
22794,tshirt,Casual
26106,shirt,Formal
3764,tshirt,Casual
18609,tshirt,Casual
16793,shirt,Casual
6216,tshirt,Casual
5493,tshirt,Casual
15116,trouser,Formal
4541,tshirt,Casual
10464,tshirt,Casual
27649,tshirt,Casual
16932,tshirt,Casual
7559,tshirt,Casual
14659,trouser,Casual
44915,tshirt,Casual
58744,tshirt,Casual
39773,shirt,Casual
11119,shirt,Formal
5800,tshirt,Casual
33249,shirt,Formal
8723,shirt,Casual
5458,trouser,Casual
34408,tshirt,Casual
7901,tshirt,Casual
19522,tshirt,Casual
48380,trouser,Casual
8949,trouser,Formal
20008,tshirt,Casual
15129,trouser,Casual
45659,tshirt,Casual
15915,shirt,Formal
26139,trouser,Formal
51857,shirt,Casual
9261,shirt,Formal
18636,tshirt,Casual
6229,tshirt,Casual
8181,shirt,Casual
48374,shirt,Casual
29343,tshirt,Casual
10669,tshirt,Casual
10803,shirt,Casual
9605,shirt,Casual
19380,trouser,Casual
33240,shirt,Formal
41660,shirt,Formal
11110,shirt,Formal
12795,tshirt,Casual
2210,tshirt,Casual
16335,shirt,Formal
50520,tshirt,Casual
26792,shirt,Formal
22332,tshirt,Casual
7550,tshirt,Casual
6482,tshirt,Casual
14650,tshirt,Casual
33072,tshirt,Casual
30293,tshirt,Casual
7908,tshirt,Casual
9892,trouser,Formal
8940,shirt,Casual
7134,trouser,Casual
36164,tshirt,Casual
20001,tshirt,Casual
11746,tshirt,Casual
5451,trouser,Casual
14006,tshirt,Casual
24693,tshirt,Casual
2674,tshirt,Casual
13223,trouser,Casual
19719,shirt,Casual
34401,tshirt,Casual
8188,shirt,Casual
6012,shirt,Casual
9866,tshirt,Casual
23670,tshirt,Casual
56849,trouser,Casual
4745,tshirt,Casual
15120,trouser,Formal
10452,tshirt,Casual
9268,shirt,Casual
2680,tshirt,Casual
12305,shirt,Formal
3752,tshirt,Casual
6220,tshirt,Casual
22590,trouser,Casual
41694,trouser,Casual
19389,tshirt,Casual
3336,tshirt,Casual
7796,tshirt,Casual
51406,shirt,Casual
3104,tshirt,Casual
18855,tshirt,Casual
6476,tshirt,Casual
14039,shirt,Casual
39113,tshirt,Casual
2479,tshirt,Casual
7937,tshirt,Casual
13812,tshirt,Casual
21588,tshirt,Casual
44923,trouser,Casual
19170,tshirt,Casual
20668,tshirt,Casual
5836,tshirt,Casual
15749,trouser,Casual
19184,shirt,Casual
29711,shirt,Formal
9633,shirt,Formal
10835,tshirt,Casual
10009,tshirt,Casual
43598,tshirt,Casual
9257,shirt,Formal
29147,tshirt,Casual
21118,shirt,Casual
9065,shirt,Formal
9859,tshirt,Casual
12934,tshirt,Casual
3103,tshirt,Casual
30604,trouser,Casual
13486,shirt,Casual
19980,tshirt,Casual
18852,tshirt,Casual
24036,tshirt,Casual
33081,tshirt,Casual
10031,tshirt,Casual
24204,trouser,Casual
41693,trouser,Casual
12766,tshirt,Casual
51401,shirt,Casual
7791,tshirt,Casual
15127,trouser,Casual
10455,tshirt,Casual
18638,tshirt,Casual
3755,tshirt,Casual
6227,tshirt,Casual
22597,tshirt,Casual
26305,tshirt,Casual
6015,shirt,Casual
21120,tshirt,Casual
14001,tshirt,Casual
5456,trouser,Casual
24694,tshirt,Casual
28865,tshirt,Casual
34406,tshirt,Casual
30294,tshirt,Casual
7133,trouser,Casual
8947,trouser,Casual
5664,tshirt,Casual
11741,tshirt,Casual
19148,tshirt,Casual
26795,shirt,Formal
2025,tshirt,Casual
7557,trouser,Casual
6485,tshirt,Casual
34250,trouser,Casual
14657,trouser,Casual
33075,tshirt,Casual
44315,trouser,Casual
33247,shirt,Formal
11117,shirt,Formal
12792,tshirt,Casual
16332,shirt,Formal
44588,shirt,Casual
9062,shirt,Formal
23648,tshirt,Casual
12933,tshirt,Casual
9250,shirt,Formal
15118,trouser,Formal
35947,shirt,Casual
9634,shirt,Formal
10832,tshirt,Casual
19183,shirt,Casual
9406,tshirt,Casual
50518,tshirt,Casual
15588,shirt,Casual
5831,tshirt,Casual
11128,trouser,Casual
14668,shirt,Casual
44924,trouser,Casual
32198,shirt,Formal
19177,shirt,Casual
7568,tshirt,Casual
28630,trouser,Casual
4789,tshirt,Casual
7930,tshirt,Casual
13815,tshirt,Casual
19721,shirt,Casual
7953,tshirt,Casual
12198,tshirt,Casual
19570,tshirt,Casual
16538,shirt,Casual
8315,tshirt,Casual
58372,tshirt,Casual
39345,tshirt,Casual
23089,trouser,Casual
33815,trouser,Formal
19114,tshirt,Casual
2845,tshirt,Casual
22369,trouser,Casual
29781,trouser,Casual
9657,shirt,Casual
17248,tshirt,Casual
28495,trouser,Casual
29547,tshirt,Casual
10851,tshirt,Casual
4974,shirt,Casual
38607,tshirt,Casual
1608,trouser,Casual
9465,shirt,Formal
19584,tshirt,Casual
12950,shirt,Casual
13882,shirt,Casual
6049,tshirt,Casual
3709,tshirt,Casual
9233,shirt,Formal
1862,tshirt,Casual
10409,tshirt,Casual
32759,shirt,Casual
2046,tshirt,Casual
27624,trouser,Casual
13411,shirt,Casual
34233,tshirt,Casual
7534,tshirt,Casual
22356,shirt,Casual
11346,trouser,Casual
11174,tshirt,Casual
2274,tshirt,Casual
17283,tshirt,Casual
16351,shirt,Formal
14062,tshirt,Casual
20257,tshirt,Casual
5435,tshirt,Casual
21385,trouser,Casual
13247,trouser,Casual
28806,shirt,Casual
16507,trouser,Casual
6082,tshirt,Casual
13849,shirt,Casual
11722,shirt,Casual
14096,tshirt,Casual
15144,shirt,Casual
10436,tshirt,Casual
32766,shirt,Formal
12361,shirt,Formal
19789,tshirt,Casual
26154,trouser,Formal
6076,tshirt,Casual
17879,tshirt,Casual
12537,trouser,Casual
8588,shirt,Casual
16197,tshirt,Casual
36590,shirt,Casual
10260,trouser,Formal
24055,tshirt,Casual
38638,tshirt,Casual
24267,shirt,Casual
3352,tshirt,Casual
31587,tshirt,Casual
47507,tshirt,Casual
23042,trouser,Formal
17277,tshirt,Casual
1865,tshirt,Casual
58381,tshirt,Casual
19583,tshirt,Casual
13885,shirt,Casual
10258,trouser,Formal
9462,shirt,Formal
29772,shirt,Casual
9650,shirt,Casual
26508,trouser,Casual
8782,shirt,Casual
22994,trouser,Casual
6618,shirt,Casual
10856,tshirt,Casual
4973,shirt,Casual
38600,tshirt,Casual
