id,articleType,usage
15970,Shirts,Casual
39386,Jeans,Casual
21379,Track Pants,Casual
53759,Tshirts,Casual
1855,Tshirts,Casual
30805,Shirts,Ethnic
12369,Shirts,Formal
7990,Tshirts,Sports
37812,Shirts,Formal
56825,Shirts,Casual
18005,Shorts,Sports
9452,Shirts,Formal
5891,Tshirts,Casual
4943,Shirts,Casual
10866,Tshirts,Casual
15528,Tshirts,Casual
54924,Shorts,Casual
9660,Shirts,Casual
18237,Tshirts,Casual
13419,Tshirts,Casual
17885,Innerwear Vests,Casual
5865,Tshirts,Casual
29584,Tshirts,Casual
9694,Tshirts,Casual
15984,Shirts,Casual
59297,Shirts,Casual
7158,Shirts,Casual
7964,Tshirts,Sports
16392,Shirts,Casual
17240,Tshirts,Casual
6617,Shirts,Casual
3365,Tshirts,Casual
10065,Tshirts,Casual
25382,Innerwear Vests,Casual
5092,Tshirts,Casual
10859,Tshirts,Casual
10257,Trousers,Formal
24062,Tshirts,Casual
22395,Shirts,Casual
12500,Shirts,Casual
30650,Tshirts,Casual
53554,Boxers,Casual
14293,Tshirts,Casual
6041,Tshirts,Casual
3533,Tshirts,Casual
17624,Track Pants,Sports
13284,Shorts,Casual
26163,Trousers,Formal
53766,Tshirts,Casual
16530,Shirts,Casual
7167,Shirts,Casual
12190,Shirts,Casual
6287,Tshirts,Casual
7355,Tshirts,Casual
43500,Tshirts,Casual
11527,Tshirts,Casual
15187,Tshirts,Casual
14055,Shirts,Casual
20260,Tshirts,Casual
8779,Shirts,Casual
2243,Tshirts,Sports
25376,Innerwear Vests,Casual
11143,Shirts,Casual
44341,Tshirts,Casual
11371,Shirts,Casual
4386,Tshirts,Casual
29789,Tshirts,Casual
7503,Tshirts,Sports
34204,Track Pants,Casual
13426,Tshirts,Casual
13846,Shirts,Casual
16508,Jeans,Casual
19540,Sweaters,Casual
7963,Tshirts,Sports
15983,Shirts,Casual
20258,Tshirts,Casual
13248,Trousers,Casual
5862,Tshirts,Casual
58726,Tshirts,Casual
43960,Shirts,Formal
8741,Shirts,Casual
22359,Shirts,Casual
2049,Tshirts,Sports
17882,Innerwear Vests,Casual
11349,Jeans,Casual
24892,Tshirts,Casual
38637,Tshirts,Casual
4944,Shirts,Casual
10861,Tshirts,Casual
17278,Tshirts,Casual
31588,Tshirts,Casual
18230,Tshirts,Casual
23871,Tshirts,Casual
9667,Shirts,Casual
12538,Track Pants,Casual
8587,Shirts,Casual
17876,Innerwear Vests,Casual
9455,Shirts,Formal
6079,Tshirts,Casual
29321,Tshirts,Sports
33489,Shirts,Casual
56822,Trousers,Casual
39381,Jeans,Casual
15977,Shirts,Casual
32769,Tshirts,Casual
10439,Tshirts,Casual
1852,Tshirts,Casual
30802,Shirts,Ethnic
19786,Tshirts,Casual
24091,Tshirts,Casual
4381,Tshirts,Casual
22366,Tshirts,Casual
34203,Track Pants,Casual
13421,Tshirts,Casual
27614,Trousers,Casual
16361,Shirts,Formal
31543,Tshirts,Casual
13613,Innerwear Vests,Casual
11144,Shirts,Casual
25371,Innerwear Vests,Casual
6280,Tshirts,Casual
7352,Tshirts,Casual
2620,Tshirts,Sports
43507,Tshirts,Casual
14052,Shirts,Casual
53795,Tshirts,Casual
11712,Shirts,Casual
13879,Shirts,Casual
12197,Tshirts,Casual
17623,Track Pants,Sports
13283,Shirts,Casual
3706,Tshirts,Casual
26164,Trousers,Formal
15174,Tshirts,Casual
53761,Tshirts,Casual
15346,Tshirts,Casual
14294,Tshirts,Casual
6046,Shirts,Casual
24065,Shirts,Casual
1607,Track Pants,Sports
4375,Tshirts,Casual
29548,Tshirts,Casual
16395,Shirts,Casual
6610,Tshirts,Casual
17247,Tshirts,Casual
23072,Trousers,Formal
3362,Tshirts,Casual
9658,Shirts,Casual
38608,Tshirts,Casual
10062,Tshirts,Casual
5095,Tshirts,Casual
16368,Trousers,Formal
8777,Shirts,Casual
25378,Innerwear Vests,Casual
4986,Tshirts,Sports
4388,Tshirts,Casual
2843,Tshirts,Casual
3991,Tshirts,Casual
29787,Tshirts,Casual
13428,Tshirts,Casual
19112,Tshirts,Casual
57932,Tshirts,Casual
7169,Shirts,Casual
13870,Shirts,Casual
7955,Tshirts,Sports
6289,Tshirts,Casual
11529,Sweaters,Casual
1890,Tshirts,Casual
15189,Tshirts,Casual
13884,Shirts,Casual
19582,Tshirts,Casual
12358,Shirts,Formal
9235,Shirts,Formal
53768,Tshirts,Casual
54915,Tshirts,Casual
9651,Shirts,Casual
8783,Shirts,Casual
4972,Shirts,Casual
38601,Tshirts,Casual
10857,Tshirts,Casual
10259,Trousers,Formal
29773,Shirts,Casual
9463,Shirts,Formal
20251,Tshirts,Casual
14064,Tshirts,Casual
5433,Tshirts,Casual
59299,Shirts,Casual
7156,Shirts,Casual
16501,Tshirts,Casual
